symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,pnl_usdt,pnl_r
ETH/USDT,long,2026-04-20 02:52:00+00:00,2026-04-20 05:07:00+00:00,2279.01,2274.525004,2287.979992,2274.525004,1.253517,loss,-5.622,-1.0
ETH/USDT,long,2026-04-20 03:56:00+00:00,2026-04-20 04:05:00+00:00,2285.25,2281.953518,2291.842964,2281.953518,1.70546,loss,-5.622,-1.0
ETH/USDT,long,2026-04-20 04:49:00+00:00,2026-04-20 05:06:00+00:00,2281.02,2277.404428,2288.251144,2277.404428,1.547171,loss,-5.5939,-1.0
ETH/USDT,short,2026-04-20 05:15:00+00:00,2026-04-20 05:45:00+00:00,2271.18,2274.90489,2263.73022,2263.73022,1.486709,win,11.0757,2.0
ETH/USDT,long,2026-04-20 05:54:00+00:00,2026-04-20 06:32:00+00:00,2267.08,2262.14748,2276.94504,2276.94504,1.133945,win,11.1864,2.0
ETH/USDT,long,2026-04-20 06:42:00+00:00,2026-04-20 07:01:00+00:00,2279.35,2275.864736,2286.320528,2286.320528,1.620864,win,11.2983,2.0
ETH/USDT,short,2026-04-20 07:39:00+00:00,2026-04-20 09:37:00+00:00,2298.97,2305.891086,2285.127828,2305.891086,0.824384,loss,-5.7056,-1.0
ETH/USDT,short,2026-04-20 07:52:00+00:00,2026-04-20 08:18:00+00:00,2291.04,2300.289966,2272.540068,2300.289966,0.616827,loss,-5.7056,-1.0
ETH/USDT,long,2026-04-20 08:01:00+00:00,2026-04-20 08:05:00+00:00,2295.66,2291.371634,2304.236732,2291.371634,1.330491,loss,-5.7056,-1.0
ETH/USDT,short,2026-04-20 08:04:00+00:00,2026-04-20 08:13:00+00:00,2292.34,2295.739056,2285.541888,2295.739056,1.678593,loss,-5.7056,-1.0
ETH/USDT,short,2026-04-20 08:29:00+00:00,2026-04-20 08:52:00+00:00,2296.65,2300.319972,2289.310056,2289.310056,1.531359,win,11.2401,2.0
ETH/USDT,long,2026-04-20 09:43:00+00:00,2026-04-20 10:56:00+00:00,2311.23,2305.398828,2322.892344,2305.398828,0.968539,loss,-5.6477,-1.0
ETH/USDT,short,2026-04-20 11:33:00+00:00,2026-04-20 11:46:00+00:00,2303.36,2307.971502,2294.136996,2307.971502,1.218579,loss,-5.6195,-1.0
ETH/USDT,long,2026-04-20 11:35:00+00:00,2026-04-20 12:10:00+00:00,2304.97,2301.579592,2311.750816,2311.750816,1.657464,win,11.239,2.0
ETH/USDT,long,2026-04-20 12:06:00+00:00,2026-04-20 12:19:00+00:00,2307.08,2303.499208,2314.241584,2314.241584,1.561493,win,11.1828,2.0
ETH/USDT,long,2026-04-20 12:08:00+00:00,2026-04-20 12:20:00+00:00,2309.78,2306.618584,2316.102832,2316.102832,1.768632,win,11.1828,2.0
ETH/USDT,short,2026-04-20 12:40:00+00:00,2026-04-20 12:50:00+00:00,2309.03,2313.792666,2299.504668,2313.792666,1.209282,loss,-5.7594,-1.0
ETH/USDT,long,2026-04-20 13:13:00+00:00,2026-04-20 13:19:00+00:00,2318.11,2314.73696,2324.85608,2314.73696,1.698945,loss,-5.7306,-1.0
ETH/USDT,short,2026-04-20 13:50:00+00:00,2026-04-20 14:15:00+00:00,2309.6,2313.352578,2302.094844,2302.094844,1.519477,win,11.4039,2.0
ETH/USDT,long,2026-04-20 13:59:00+00:00,2026-04-20 14:01:00+00:00,2312.54,2305.63878,2326.34244,2305.63878,0.826224,loss,-5.702,-1.0
