symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,long,2025-04-11 06:25:00+00:00,2025-04-11 07:05:00+00:00,1553.266245,1549.799978,1601.0,1549.799978,0.016377,loss,-0.0568,0.0254,-0.0822,-1.448,
ETH/USDT,short,2025-04-11 06:40:00+00:00,2025-04-11 08:00:00+00:00,1556.866178,1562.232384,1535.98,1562.232384,0.016338,loss,-0.0877,0.0255,-0.1132,-1.291,
ETH/USDT,short,2025-04-11 07:05:00+00:00,2025-04-11 07:35:00+00:00,1552.738243,1557.16137,1535.98,1557.16137,0.016371,loss,-0.0724,0.0255,-0.0979,-1.352,
ETH/USDT,long,2025-04-11 07:50:00+00:00,2025-04-11 08:00:00+00:00,1552.9761,1550.38986,1574.52,1550.38986,0.016356,loss,-0.0423,0.0254,-0.0677,-1.6,
ETH/USDT,long,2025-04-11 09:40:00+00:00,2025-04-11 10:10:00+00:00,1563.311265,1558.258286,1638.0,1558.258286,0.016217,loss,-0.0819,0.0253,-0.1073,-1.309,
ETH/USDT,long,2025-04-11 10:10:00+00:00,2025-04-11 10:15:00+00:00,1557.203212,1553.599218,1574.52,1553.599218,0.016267,loss,-0.0586,0.0253,-0.0839,-1.432,
ETH/USDT,long,2025-04-11 10:15:00+00:00,2025-04-11 10:20:00+00:00,1552.730977,1549.600018,1568.27,1549.600018,0.016303,loss,-0.051,0.0253,-0.0763,-1.495,
ETH/USDT,long,2025-04-12 03:55:00+00:00,2025-04-12 04:05:00+00:00,1553.841532,1551.379662,1568.8,1551.379662,0.016281,loss,-0.0401,0.0253,-0.0654,-1.631,
ETH/USDT,short,2025-04-12 04:20:00+00:00,2025-04-12 04:25:00+00:00,1553.792715,1555.91112,1547.14,1555.91112,0.016273,loss,-0.0345,0.0253,-0.0598,-1.734,
ETH/USDT,long,2025-04-12 04:35:00+00:00,2025-04-12 05:20:00+00:00,1556.312767,1553.609216,1568.8,1568.8,0.016239,win,0.2028,0.0254,0.1774,4.041,
ETH/USDT,short,2025-04-12 08:35:00+00:00,2025-04-12 09:10:00+00:00,1593.277963,1595.659068,1568.55,1568.55,0.015885,win,0.3928,0.0251,0.3677,9.721,
ETH/USDT,short,2025-04-13 02:05:00+00:00,2025-04-13 02:40:00+00:00,1619.100045,1621.854306,1605.87,1605.87,0.015677,win,0.2074,0.0253,0.1821,4.218,
ETH/USDT,short,2025-04-13 04:25:00+00:00,2025-04-13 04:55:00+00:00,1618.61029,1623.044544,1596.47,1596.47,0.015704,win,0.3477,0.0252,0.3224,4.63,
ETH/USDT,short,2025-04-13 05:05:00+00:00,2025-04-13 06:10:00+00:00,1610.159517,1612.642464,1596.47,1612.642464,0.015827,loss,-0.0393,0.0255,-0.0648,-1.649,
ETH/USDT,short,2025-04-13 06:00:00+00:00,2025-04-13 06:10:00+00:00,1607.725735,1612.502436,1551.0,1612.502436,0.015849,loss,-0.0757,0.0255,-0.1012,-1.337,
